S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name
b'34957.',b'30-Dec-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'con.cc road cc rineval coat pevar block laying ward 15 parasri pul to manas bhavan/ 3029 / 2020_UAD_97762_1',b'Madhya Pradesh',b'2020_UAD_97762_1'
b'34958.',b'09-Oct-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'ADS MLA 2019-20 -Nenmara LAC-Construction of Buildig for Challa GLP School in Muthalamada  GP&amp;#x0d;/ 101/E/20-21 / 2020_LSGD_371130_1',b'Kerala',b'2020_LSGD_371130_1'
b'34959.',b'25-Jul-2020 03:32 PM',b'13-Jul-2020 02:55 PM',"b'Providing of 20nos of 9 mtrs semi masts of MS tubular poles at various places in Barkas division(42) of Chandrayangutta Circle-8 and Constituency/ NIT. No: 12/EE (Elect.)CMRZ/GHMC/AET/2020-21, Item No: 6, dated: 13-07-2020 / 184962'",b'Telegana',b'184962'
b'34960.',b'25-Jul-2020 03:29 PM',b'13-Jul-2020 02:46 PM',"b'Dismantling  Re-erection of 2nos of 20mtrs Masts, 16nos of MS poles and providing of 5nos of new MS poles at various locations of various divisions of Chandrayangutta Circle-8 and Constituency/ NIT. No: 12/EE (Elect.)CMRZ/GHMC/AET/2020-21, Item No: 5, dated: 13-07-2020 / 184960'",b'Telegana',b'184960'
b'34941.',b'19-Aug-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'Dariyapur laying of pipe line and FHTC connection/ No. 6740-6796 dt. 07/07/2020 / 2020_HRY_135409_1',b'Haryana',b'2020_HRY_135409_1'
b'34942.',b'21-Aug-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'Providing  01 Nos. hiring for Commercial Vehicle i.e. TATA 407 or equivelent vehicle of latest modal maximum Two year old  City Dn Rewa/ 4285 / 2020_PKVVC_97736_1',b'Madhya Pradesh',b'2020_PKVVC_97736_1'
b'34943.',b'24-Aug-2020 12:00 AM',b'13-Jul-2020 03:00 PM',"b'LAC-ADS 2019-20, Alathur Court Compound -Construction of Janasevana Kendram (Re freshment Hall,Client sevana kendram),Alathur Gramapanchayath.&amp;#x0d;/ 100/E/20-21 / 2020_LSGD_371055_1'",b'Kerala',b'2020_LSGD_371055_1'
b'34944.',b'09-Oct-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'ADS MLA 2019-20 -Nenmara LAC-Construction of Buildig for Challa GLP School in Muthalamada  GP&amp;#x0d;/ 101/E/20-21 / 2020_LSGD_371130_1',b'Kerala',b'2020_LSGD_371130_1'
b'34945.',b'24-Sep-2020 12:00 AM',b'13-Jul-2020 03:00 PM',"b'STBT TO BABHULGAON TO MALIWADGAON ROAD, VR-12, KM. 1/500 TO 2/700, TQ. GANGAPUR./ ZPA/WORKS/5054/13/7/20 / 2020_AURAN_593976_2'",b'Maharashtra',b'2020_AURAN_593976_2'
b'34946.',b'31-Jul-2020 12:00 AM',b'13-Jul-2020 03:00 PM',"b'10 Nos. LED Semi High Mast Light at Block Ram Nagar, Bareilly (Vidhayak Nidhi)/ 135-3/E.E.E Bly/E-Tender/BLY/2020-21 Dt 13.07.2020 / 2020_SCIDC_492525_1'",b'Uttar Pradesh',b'2020_SCIDC_492525_1'
b'34947.',b'21-Jul-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'Constructing Anganwadi Building At.Devarpade Tal.Malegaon Dist.Nashik/ E-TENDER NOTICE NO. 01/2019-20 / 2020_NASHI_593112_1',b'Maharashtra',b'2020_NASHI_593112_1'
b'34948.',b'20-Oct-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'LAC ADS 2019-20- TARUR- CONSTRUCTION OF P.H.C. BUILDING IN  KANNAMBRA G.P./ 31/E/20-21 / 2020_LSGD_362440_2',b'Kerala',b'2020_LSGD_362440_2'
b'34949.',b'24-Jul-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'Civil Work/ D.P.D.C.2019-2020 / 2020_BEED_593384_1',b'Maharashtra',b'2020_BEED_593384_1'
b'34950.',b'30-Dec-2020 12:00 AM',b'13-Jul-2020 03:00 PM',b'con.cc road cc rineval coat pevar block laying ward 15 parasri pul to manas bhavan/ 3029 / 2020_UAD_97762_1',b'Madhya Pradesh',b'2020_UAD_97762_1'
b'34931.',b'31-Jul-2020 12:28 AM',b'13-Jul-2020 03:50 PM',"b'Repairs  Renovations to Bastidawakhana at Dr.B.R. Ambedkar Bhavan, Bandi-Ki-Adda, Ghansibazar-49, Chandrayangutta, Hyderabad/ 6-3/EE/TSMSIDC/Hyd.Divn/2020-21/           Dt:  09.07.2020 / 184976'",b'Telegana',b'184976'
b'34932.',b'25-Jul-2020 03:58 PM',b'13-Jul-2020 03:45 PM',"b'Dismantling and re-erection of 9 nos. of modern lighting poles at 1) Durga Nagar Road 2) NPA Road 3) Hyderguda Road and 4) Suleman Nagar Road in Rajendra Nagar Circle-11 and Constituency/ NIT. No: 12/EE (Elect.)CMRZ/GHMC/AET/2020-21, Item No: 8, dated: 13-07-2020 / 184970'",b'Telegana',b'184970'
b'34933.',b'31-Jul-2020 12:26 AM',b'13-Jul-2020 03:43 PM',"b'Repairs  Renovations to Bastidawakhana at Jama Masjid Sarwar-E-Kaoniam (SAW) Fateh Shah Nagar, Lalithabagh-36, Chandrayangutta, Hyderabad/ 6-2/EE/TSMSIDC/Hyd.Divn/2020-21/           Dt:  09.07.2020 / 184973'",b'Telegana',b'184973'
b'34934.',b'31-Jul-2020 12:23 AM',b'13-Jul-2020 03:37 PM',"b'Repairs  Renovations to Bastidawakhana at Majid-E-Omer Farooq C Block, Kanchanbagh-41, Chandrayangutta, Hyderabad/ 6-1/EE/TSMSIDC/Hyd.Divn/2020-21/       Dt: 09.07.2020 / 184969'",b'Telegana',b'184969'
